taxon_name,family_common_name,taxon_scientific_name,family_scientific_name,order,population,status
Ostrich,Ostriches,Struthio camelus,Struthionidae,Struthioniformes,Introduced,Introduced
Southern Cassowary,Emus and Cassowaries,Casuarius casuarius,Casuariidae,Struthioniformes,Australian,Vulnerable
Emu,Emus and Cassowaries,Dromaius novaehollandiae,Casuariidae,Struthioniformes,Endemic,Least concern
Australian Brush-turkey,Megapodes,Alectura lathami,Megapodiidae,Galliformes,Endemic,Least concern
Malleefowl,Megapodes,Leipoa ocellata,Megapodiidae,Galliformes,Endemic,Vulnerable
Orange-footed Scrubfowl,Megapodes,Megapodius reinwardt,Megapodiidae,Galliformes,Australian,Least concern
Stubble Quail,Pheasants and Quail,Coturnix pectoralis,Phasianidae,Galliformes,Endemic,Least concern
Brown Quail,Pheasants and Quail,Synoicus ypsilophora,Phasianidae,Galliformes,Australian,Least concern
King Quail,Pheasants and Quail,Synoicus chinensis,Phasianidae,Galliformes,Australian,Least concern
Helmeted Guineafowl,Guineafowl,Numida meleagris,Numididae,Galliformes,Introduced,Introduced
California Quail,New World Quail,Callipepla californica,Odontophoridae,Galliformes,Introduced,Introduced
Indian Peafowl,Pheasants and Quail,Pavo cristatus,Phasianidae,Galliformes,Introduced,Introduced
Common Pheasant,Pheasants and Quail,Phasianus colchicus,Phasianidae,Galliformes,Introduced,Introduced
Wild Turkey,Pheasants and Quail,Meleagris gallopavo,Phasianidae,Galliformes,Introduced,Introduced
Magpie Goose,Magpie Goose,Anseranas semipalmata,Anseranatidae,Anseriformes,Australian,Least concern
Spotted Whistling-Duck,"Ducks, Geese and Swans",Dendrocygna guttata,Anatidae,Anseriformes,Australian,Least concern
Plumed Whistling-Duck,"Ducks, Geese and Swans",Dendrocygna eytoni,Anatidae,Anseriformes,Australian,Least concern
Wandering Whistling-Duck,"Ducks, Geese and Swans",Dendrocygna arcuata,Anatidae,Anseriformes,Australian,Least concern
Blue-billed Duck,"Ducks, Geese and Swans",Oxyura australis,Anatidae,Anseriformes,Endemic,Near threatened
Pink-eared Duck,"Ducks, Geese and Swans",Malacorhynchus membranaceus,Anatidae,Anseriformes,Endemic,Least concern
Cape Barren Goose,"Ducks, Geese and Swans",Cereopsis novaehollandiae,Anatidae,Anseriformes,Endemic,Least concern
Black Swan,"Ducks, Geese and Swans",Cygnus atratus,Anatidae,Anseriformes,Endemic,Least concern
Radjah Shelduck,"Ducks, Geese and Swans",Radjah radjah,Anatidae,Anseriformes,Australian,Least concern
Australian Shelduck,"Ducks, Geese and Swans",Tadorna tadornoides,Anatidae,Anseriformes,Endemic,Least concern
Hardhead,"Ducks, Geese and Swans",Aythya australis,Anatidae,Anseriformes,Australian,Least concern
Garganey,"Ducks, Geese and Swans",Spatula querquedula,Anatidae,Anseriformes,Vagrant,Least concern
Australasian Shoveler,"Ducks, Geese and Swans",Spatula rhynchotis,Anatidae,Anseriformes,Australian,Least concern
Pacific Black Duck,"Ducks, Geese and Swans",Anas superciliosa,Anatidae,Anseriformes,Australian,Least concern
Northern Mallard,"Ducks, Geese and Swans",Anas platyrhynchos,Anatidae,Anseriformes,Introduced,Introduced
Grey Teal,"Ducks, Geese and Swans",Anas gracilis,Anatidae,Anseriformes,Australian,Least concern
Chestnut Teal,"Ducks, Geese and Swans",Anas castanea,Anatidae,Anseriformes,Endemic,Least concern
Freckled Duck,"Ducks, Geese and Swans",Stictonetta naevosa,Anatidae,Anseriformes,Endemic,Least concern
Musk Duck,"Ducks, Geese and Swans",Biziura lobata,Anatidae,Anseriformes,Endemic,Least concern
Australian Wood Duck,"Ducks, Geese and Swans",Chenonetta jubata,Anatidae,Anseriformes,Endemic,Least concern
Cotton Pygmy-goose,"Ducks, Geese and Swans",Nettapus coromandelianus,Anatidae,Anseriformes,Australian,Least concern
Green Pygmy-goose,"Ducks, Geese and Swans",Nettapus pulchellus,Anatidae,Anseriformes,Australian,Least concern
Australasian Grebe,Grebes,Tachybaptus novaehollandiae,Podicipedidae,Podicepiformes,Australian,Least concern
Hoary-headed Grebe,Grebes,Poliocephalus poliocephalus,Podicipedidae,Podicepiformes,Endemic,Least concern
Great Crested Grebe,Grebes,Podiceps cristatus,Podicipedidae,Podicepiformes,Australian,Least concern
Rock Dove,Pigeons and Doves,Columba livia,Columbidae,Columbiformes,Introduced,Introduced
White-headed Pigeon,Pigeons and Doves,Columba leucomela,Columbidae,Columbiformes,Endemic,Least concern
Barbary Dove,Pigeons and Doves,Streptopelia roseogrisea,Columbidae,Columbiformes,Introduced,Introduced
Spotted Dove,Pigeons and Doves,Streptopelia chinensis,Columbidae,Columbiformes,Introduced,Introduced
Laughing Dove,Pigeons and Doves,Streptopelia senegalensis,Columbidae,Columbiformes,Introduced,Introduced
Brown Cuckoo-Dove,Pigeons and Doves,Macropygia phasianella,Columbidae,Columbiformes,Australian,Least concern
Wonga Pigeon,Pigeons and Doves,Leucosarcia melanoleuca,Columbidae,Columbiformes,Endemic,Least concern
Chestnut-quilled Rock-Pigeon,Pigeons and Doves,Petrophassa rufipennis,Columbidae,Columbiformes,Endemic,Least concern
White-quilled Rock-Pigeon,Pigeons and Doves,Petrophassa albipennis,Columbidae,Columbiformes,Endemic,Least concern
Spinifex Pigeon,Pigeons and Doves,Geophaps plumifera,Columbidae,Columbiformes,Endemic,Least concern
Squatter Pigeon,Pigeons and Doves,Geophaps scripta,Columbidae,Columbiformes,Endemic,Least concern
Partridge Pigeon,Pigeons and Doves,Geophaps smithii,Columbidae,Columbiformes,Endemic,Vulnerable
Common Bronzewing,Pigeons and Doves,Phaps chalcoptera,Columbidae,Columbiformes,Endemic,Least concern
Brush Bronzewing,Pigeons and Doves,Phaps elegans,Columbidae,Columbiformes,Endemic,Least concern
Flock Bronzewing,Pigeons and Doves,Phaps histrionica,Columbidae,Columbiformes,Endemic,Least concern
Crested Pigeon,Pigeons and Doves,Ocyphaps lophotes,Columbidae,Columbiformes,Endemic,Least concern
Diamond Dove,Pigeons and Doves,Geopelia cuneata,Columbidae,Columbiformes,Endemic,Least concern
Peaceful Dove,Pigeons and Doves,Geopelia placida,Columbidae,Columbiformes,Australian,Least concern
Squatter Pigeon,Pigeons and Doves,Geophaps scripta,Columbidae,Columbiformes,Endemic,Least concern
Bar-shouldered Dove,Pigeons and Doves,Geopelia humeralis,Columbidae,Columbiformes,Australian,Least concern
Emerald-Dove,Pigeons and Doves,Chalcophaps longirostris,Columbidae,Columbiformes,Australian,Least concern
Christmas Island Imperial-Pigeon,Pigeons and Doves,Ducula whartoni,Columbidae,Columbiformes,Endemic,Near threatened
Collared Imperial-Pigeon,Pigeons and Doves,Ducula mullerii,Columbidae,Columbiformes,Australian,Least concern
Torresian Imperial-Pigeon,Pigeons and Doves,Ducula spilorrhoa,Columbidae,Columbiformes,Australian,Least concern
Banded Fruit-Dove,Pigeons and Doves,Ptilinopus alligator,Columbidae,Columbiformes,Endemic,Least concern
Wompoo Fruit-Dove,Pigeons and Doves,Ptilinopus magnificus,Columbidae,Columbiformes,Australian,Least concern
Superb Fruit-Dove,Pigeons and Doves,Ptilinopus superbus,Columbidae,Columbiformes,Australian,Least concern
Rose-crowned Fruit-Dove,Pigeons and Doves,Ptilinopus regina,Columbidae,Columbiformes,Australian,Least concern
Orange-bellied Fruit-Dove,Pigeons and Doves,Ptilinopus iozonus,Columbidae,Columbiformes,Vagrant,Vagrant
Topknot Pigeon,Pigeons and Doves,Lopholaimus antarcticus,Columbidae,Columbiformes,Endemic,Least concern
Marbled Frogmouth,Frogmouths,Podargus ocellatus,Podargidae,Caprimulgiformes,Australian,Least concern
Papuan Frogmouth,Frogmouths,Podargus papuensis,Podargidae,Caprimulgiformes,Australian,Least concern
Tawny Frogmouth,Frogmouths,Podargus strigoides,Podargidae,Caprimulgiformes,Endemic,Least concern
Spotted Nightjar,Eared Nightjars,Eurostopodus argus,Eurostopodidae,Caprimulgiformes,Australian,Least concern
White-throated Nightjar,Eared Nightjars,Eurostopodus mystacalis,Eurostopodidae,Caprimulgiformes,Australian,Least concern
Large-tailed Nightjar,Nightjars,Caprimulgus macrurus,Caprimulgidae,Caprimulgiformes,Australian,Least concern
Australian Owlet-nightjar,Owlet-nightjars,Aegotheles cristatus,Aegothelidae,Caprimulgiformes,Australian,Least concern
White-throated Needletail,Swifts and Swiftlets,Hirundapus caudacutus,Apodidae,Caprimulgiformes,Non-breeding,Least concern
Glossy Swiftlet,Swifts and Swiftlets,Collocalia esculenta,Apodidae,Caprimulgiformes,Australian,Near threatened
Australian Swiftlet,Swifts and Swiftlets,Aerodramus terraereginae,Apodidae,Caprimulgiformes,Australian,Least concern
Uniform Swiftlet,Swifts and Swiftlets,Aerodramus vanikorensis,Apodidae,Caprimulgiformes,Vagrant,Vagrant
Fork-tailed Swift,Swifts and Swiftlets,Apus pacificus,Apodidae,Caprimulgiformes,Non-breeding,Least concern
House Swift,Swifts and Swiftlets,Apus nipalensis,Apodidae,Caprimulgiformes,Vagrant,Vagrant
Wilson's Storm-Petrel,Southern Storm-Petrels,Oceanites oceanicus,Oceanitidae,Procellariformes,Australian,Least concern
Grey-backed Storm-Petrel,Southern Storm-Petrels,Garrodia nereis,Oceanitidae,Procellariformes,Australian,Endangered
White-faced Storm-Petrel,Southern Storm-Petrels,Pelagodroma marina,Oceanitidae,Procellariformes,Australian,Least concern
White-bellied Storm-Petrel,Southern Storm-Petrels,Fregetta grallaria,Oceanitidae,Procellariformes,Australian,Vulnerable
Black-bellied Storm-Petrel,Southern Storm-Petrels,Fregetta tropica,Oceanitidae,Procellariformes,Non-breeding,Least concern
Wandering Albatross,Albatrosses,Diomedea exulans,Diomedeidae,Procellariformes,Australian,Critically endangered
Antipodean Albatross,Albatrosses,Diomedea antipodensis,Diomedeidae,Procellariformes,Non-breeding,Endangered
Amsterdam Albatross,Albatrosses,Diomedea amsterdamensis,Diomedeidae,Procellariformes,No confirmed record,Vagrant
Tristan Albatross,Albatrosses,Diomedea dabbenena,Diomedeidae,Procellariformes,Australian,Vagrant
Northern Royal Albatross,Albatrosses,Diomedea sanfordi,Diomedeidae,Procellariformes,Non-breeding,Endangered
Southern Royal Albatross,Albatrosses,Diomedea epomophora,Diomedeidae,Procellariformes,Non-breeding,Vulnerable
Light-mantled Sooty Albatross,Albatrosses,Phoebetria palpebrata,Diomedeidae,Procellariformes,Australian,Near threatened
Sooty Albatross,Albatrosses,Phoebetria fusca,Diomedeidae,Procellariformes,Non-breeding,Endangered
Indian Yellow-nosed Albatross,Albatrosses,Thalassarche carteri,Diomedeidae,Procellariformes,Non-breeding,Endangered
Grey-headed Albatross,Albatrosses,Thalassarche chrysostoma,Diomedeidae,Procellariformes,Australian,Critically endangered
Black-browed Albatross,Albatrosses,Thalassarche melanophris,Diomedeidae,Procellariformes,Australian,Endangered
Campbell Albatross,Albatrosses,Thalassarche impavida,Diomedeidae,Procellariformes,Non-breeding,Vulnerable
Buller's Albatross,Albatrosses,Thalassarche bulleri,Diomedeidae,Procellariformes,Non-breeding,Near threatened
Shy Albatross,Albatrosses,Thalassarche cauta,Diomedeidae,Procellariformes,Endemic (breeding only),Vulnerable
White-capped Albatross,Albatrosses,Thalassarche steadi,Diomedeidae,Procellariformes,Non-breeding,Vulnerable
Chatham Albatross,Albatrosses,Thalassarche eremita,Diomedeidae,Procellariformes,Vagrant,Vagrant
Salvin's Albatross,Albatrosses,Thalassarche salvini,Diomedeidae,Procellariformes,Non-breeding,Vulnerable
Northern Giant-Petrel,Petrels and Shearwaters,Macronectes halli,Procellariidae,Procellariformes,Australian,Least concern
Southern Giant-Petrel,Petrels and Shearwaters,Macronectes giganteus,Procellariidae,Procellariformes,Australian,Least concern
Southern Fulmar,Petrels and Shearwaters,Fulmarus glacialoides,Procellariidae,Procellariformes,Non-breeding,Least concern
Cape Petrel,Petrels and Shearwaters,Daption capense,Procellariidae,Procellariformes,Australian,Least concern
Blue Petrel,Petrels and Shearwaters,Halobaena caerulea,Procellariidae,Procellariformes,Australian,Critically endangered
Broad-billed Prion,Petrels and Shearwaters,Pachyptila vittata,Procellariidae,Procellariformes,Non-breeding,Least concern
Salvin's Prion,Petrels and Shearwaters,Pachyptila salvini,Procellariidae,Procellariformes,Non-breeding,Least concern
Antarctic Prion,Petrels and Shearwaters,Pachyptila desolata,Procellariidae,Procellariformes,Australian,Endangered
Slender-billed Prion,Petrels and Shearwaters,Pachyptila belcheri,Procellariidae,Procellariformes,Non-breeding,Least concern
Fairy Prion,Petrels and Shearwaters,Pachyptila turtur,Procellariidae,Procellariformes,Australian,Least concern
Fulmar Prion,Petrels and Shearwaters,Pachyptila crassirostris,Procellariidae,Procellariformes,Australian,Least concern
Kerguelen Petrel,Petrels and Shearwaters,Aphrodroma brevirostris,Procellariidae,Procellariformes,Non-breeding,Least concern
Gould's Petrel,Petrels and Shearwaters,Pterodroma leucoptera,Procellariidae,Procellariformes,Australian,Vulnerable
Collared Petrel,Petrels and Shearwaters,Pterodroma brevipes,Procellariidae,Procellariformes,Vagrant,Vagrant
Cook's Petrel,Petrels and Shearwaters,Pterodroma cookii,Procellariidae,Procellariformes,Vagrant,Vagrant
Pycroft's Petrel,Petrels and Shearwaters,Pterodroma pycrofti,Procellariidae,Procellariformes,Extinct (Australia only),Extinct
Black-winged Petrel,Petrels and Shearwaters,Pterodroma nigripennis,Procellariidae,Procellariformes,Australian,Least concern
Providence Petrel,Petrels and Shearwaters,Pterodroma solandri,Procellariidae,Procellariformes,Endemic (breeding only),Vulnerable
Kermadec Petrel,Petrels and Shearwaters,Pterodroma neglecta,Procellariidae,Procellariformes,Australian,Least concern
Herald Petrel,Petrels and Shearwaters,Pterodroma heraldica,Procellariidae,Procellariformes,Australian,Vulnerable
Mottled Petrel,Petrels and Shearwaters,Pterodroma inexpectata,Procellariidae,Procellariformes,Non-breeding,Near threatened
White-necked Petrel,Petrels and Shearwaters,Pterodroma cervicalis,Procellariidae,Procellariformes,Australian,Vulnerable
Soft-plumaged Petrel,Petrels and Shearwaters,Pterodroma mollis,Procellariidae,Procellariformes,Australian,Critically endangered
White-headed Petrel,Petrels and Shearwaters,Pterodroma lessonii,Procellariidae,Procellariformes,Australian,Endangered
Great-winged Petrel,Petrels and Shearwaters,Pterodroma macroptera,Procellariidae,Procellariformes,Australian,Least concern
Grey-faced Petrel,Petrels and Shearwaters,Pterodroma gouldi,Procellariidae,Procellariformes,Non-breeding,Least concern
Grey Petrel,Petrels and Shearwaters,Procellaria cinerea,Procellariidae,Procellariformes,Australian,Endangered
White-chinned Petrel,Petrels and Shearwaters,Procellaria aequinoctialis,Procellariidae,Procellariformes,Non-breeding,Vulnerable
Westland Petrel,Petrels and Shearwaters,Procellaria westlandica,Procellariidae,Procellariformes,Non-breeding,Vulnerable
Black Petrel,Petrels and Shearwaters,Procellaria parkinsoni,Procellariidae,Procellariformes,Non-breeding,Vulnerable
Wedge-tailed Shearwater,Petrels and Shearwaters,Ardenna pacifica,Procellariidae,Procellariformes,Australian,Least concern
Buller's Shearwater,Petrels and Shearwaters,Ardenna bulleri,Procellariidae,Procellariformes,Non-breeding,Vulnerable
Short-tailed Shearwater,Petrels and Shearwaters,Ardenna tenuirostris,Procellariidae,Procellariformes,Endemic (breeding only),Least concern
Sooty Shearwater,Petrels and Shearwaters,Ardenna grisea,Procellariidae,Procellariformes,Australian,Near threatened
Flesh-footed Shearwater,Petrels and Shearwaters,Ardenna carneipes,Procellariidae,Procellariformes,Australian,Near threatened
Streaked Shearwater,Petrels and Shearwaters,Calonectris leucomelas,Procellariidae,Procellariformes,Non-breeding,Least concern
Fluttering Shearwater,Petrels and Shearwaters,Puffinus gavia,Procellariidae,Procellariformes,Non-breeding,Least concern
Hutton's Shearwater,Petrels and Shearwaters,Puffinus huttoni,Procellariidae,Procellariformes,Non-breeding,Endangered
Little Shearwater,Petrels and Shearwaters,Puffinus assimilis,Procellariidae,Procellariformes,Australian,Least concern
Subantarctic Shearwater,Petrels and Shearwaters,Puffinus elegans,Procellariidae,Procellariformes,Non-breeding,Least concern
Tahiti Petrel,Petrels and Shearwaters,Pseudobulweria rostrata,Procellariidae,Procellariformes,Non-breeding,Near threatened
Bulwer's Petrel,Petrels and Shearwaters,Bulweria bulwerii,Procellariidae,Procellariformes,Non-breeding,Least concern
South Georgian Diving-Petrel,Petrels and Shearwaters,Pelecanoides georgicus,Procellariidae,Procellariformes,Australian,Vulnerable
Common Diving-Petrel,Petrels and Shearwaters,Pelecanoides urinatrix,Procellariidae,Procellariformes,Australian,Least concern
King Penguin,Penguins,Aptenodytes patagonicus,Spheniscidae,Sphenisciformes,Australian,Least concern
Macaroni Penguin,Penguins,Eudyptes chrysolophus,Spheniscidae,Sphenisciformes,Australian,Near threatened
Northern Rockhopper Penguin,Penguins,Eudyptes moseleyi,Spheniscidae,Sphenisciformes,Vagrant,Vagrant
Southern Rockhopper Penguin,Penguins,Eudyptes chrysocome,Spheniscidae,Sphenisciformes,Australian,Vulnerable
Fiordland Penguin,Penguins,Eudyptes pachyrhynchus,Spheniscidae,Sphenisciformes,Vagrant,Vagrant
Little Penguin,Penguins,Eudyptula minor,Spheniscidae,Sphenisciformes,Australian,Least concern
Red-tailed Tropicbird,Tropicbirds,Phaethon rubricauda,Phaethontidae,Phaetontiformes,Australian,Near threatened
White-tailed Tropicbird,Tropicbirds,Phaethon lepturus,Phaethontidae,Phaetontiformes,Australian,Endangered
Lesser Frigatebird,Frigatebirds,Fregata ariel,Fregatidae,Pelecaniformes,Australian,Least concern
Great Frigatebird,Frigatebirds,Fregata minor,Fregatidae,Pelecaniformes,Australian,Least concern
Christmas Island Frigatebird,Frigatebirds,Fregata andrewsi,Fregatidae,Pelecaniformes,Endemic (breeding only),Critically endangered
Abbott's Booby,Gannets and Boobies,Papasula abbotti,Sulidae,Pelecaniformes,Endemic (breeding only),Endangered
Cape Gannet,Gannets and Boobies,Morus capensis,Sulidae,Pelecaniformes,Vagrant,Vagrant
Australasian Gannet,Gannets and Boobies,Morus serrator,Sulidae,Pelecaniformes,Australian,Least concern
Red-footed Booby,Gannets and Boobies,Sula sula,Sulidae,Pelecaniformes,Australian,Least concern
Brown Booby,Gannets and Boobies,Sula leucogaster,Sulidae,Pelecaniformes,Australian,Least concern
Masked Booby,Gannets and Boobies,Sula dactylatra,Sulidae,Pelecaniformes,Australian,Least concern
Little Pied Cormorant,Cormorants and Shags,Microcarbo melanoleucos,Phalacrocoracidae,Pelecaniformes,Australian,Least concern
Great Cormorant,Cormorants and Shags,Phalacrocorax carbo,Phalacrocoracidae,Pelecaniformes,Australian,Least concern
Little Black Cormorant,Cormorants and Shags,Phalacrocorax sulcirostris,Phalacrocoracidae,Pelecaniformes,Australian,Least concern
Black-faced Cormorant,Cormorants and Shags,Phalacrocorax fuscescens,Phalacrocoracidae,Pelecaniformes,Endemic,Least concern
Pied Cormorant,Cormorants and Shags,Phalacrocorax varius,Phalacrocoracidae,Pelecaniformes,Australian,Least concern
Australasian Darter,Darter,Anhinga novaehollandiae,Anhingidae,Pelecaniformes,Australian,Least concern
Black-necked Stork,Storks,Ephippiorhynchus asiaticus,Ciconiidae,Pelecaniformes,Australian,Least concern
Australian Pelican,Pelican,Pelecanus conspicillatus,Pelicanidae,Pelecaniformes,Endemic (breeding only),Least concern
Australasian Bittern,"Herons, Egrets and Bitterns",Botaurus poiciloptilus,Ardeidae,Pelecaniformes,Australian,Endangered
Australian Little Bittern,"Herons, Egrets and Bitterns",Ixobrychus dubius,Ardeidae,Pelecaniformes,Australian,Least concern
Black Bittern,"Herons, Egrets and Bitterns",Ixobrychus flavicollis,Ardeidae,Pelecaniformes,Australian,Least concern
Nankeen Night-Heron,"Herons, Egrets and Bitterns",Nycticorax caledonicus,Ardeidae,Pelecaniformes,Australian,Least concern
Striated Heron,"Herons, Egrets and Bitterns",Butorides striata,Ardeidae,Pelecaniformes,Australian,Least concern
Cattle Egret,"Herons, Egrets and Bitterns",Bubulcus ibis,Ardeidae,Pelecaniformes,Australian,Least concern
White-necked Heron,"Herons, Egrets and Bitterns",Ardea pacifica,Ardeidae,Pelecaniformes,Endemic,Least concern
Great-billed Heron,"Herons, Egrets and Bitterns",Ardea sumatrana,Ardeidae,Pelecaniformes,Australian,Least concern
Great Egret,"Herons, Egrets and Bitterns",Ardea alba,Ardeidae,Pelecaniformes,Australian,Least concern
Intermediate Egret,"Herons, Egrets and Bitterns",Ardea intermedia,Ardeidae,Pelecaniformes,Australian,Least concern
Pied Heron,"Herons, Egrets and Bitterns",Egretta picata,Ardeidae,Pelecaniformes,Australian,Least concern
White-faced Heron,"Herons, Egrets and Bitterns",Egretta novaehollandiae,Ardeidae,Pelecaniformes,Australian,Least concern
Little Egret,"Herons, Egrets and Bitterns",Egretta garzetta,Ardeidae,Pelecaniformes,Australian,Least concern
Eastern Reef Egret,"Herons, Egrets and Bitterns",Egretta sacra,Ardeidae,Pelecaniformes,Australian,Least concern
Australian White Ibis,Ibis and Spoonbills,Threskiornis moluccus,Threskiornithidae,Pelecaniformes,Australian,Least concern
Straw-necked Ibis,Ibis and Spoonbills,Threskiornis spinicollis,Threskiornithidae,Pelecaniformes,Endemic (breeding only),Least concern
Yellow-billed Spoonbill,Ibis and Spoonbills,Platalea flavipes,Threskiornithidae,Pelecaniformes,Endemic,Least concern
Royal Spoonbill,Ibis and Spoonbills,Platalea regia,Threskiornithidae,Pelecaniformes,Australian,Least concern
Glossy Ibis,Ibis and Spoonbills,Plegadis falcinellus,Threskiornithidae,Pelecaniformes,Australian,Least concern
Black-shouldered Kite,"Eagles, Kites, Goshawks",Elanus axillaris,Accipitridae,Accipitriformes,Endemic,Least concern
Letter-winged Kite,"Eagles, Kites, Goshawks",Elanus scriptus,Accipitridae,Accipitriformes,Endemic,Near threatened
Black-breasted Buzzard,"Eagles, Kites, Goshawks",Hamirostra melanosternon,Accipitridae,Accipitriformes,Endemic,Least concern
Square-tailed Kite,"Eagles, Kites, Goshawks",Lophoictinia isura,Accipitridae,Accipitriformes,Endemic,Least concern
Pacific Baza,"Eagles, Kites, Goshawks",Aviceda subcristata,Accipitridae,Accipitriformes,Australian,Least concern
Gurney's Eagle,"Eagles, Kites, Goshawks",Aquila gurneyi,Accipitridae,Accipitriformes,Vagrant,Vagrant
Wedge-tailed Eagle,"Eagles, Kites, Goshawks",Aquila audax,Accipitridae,Accipitriformes,Australian,Least concern
Little Eagle,"Eagles, Kites, Goshawks",Hieraaetus morphnoides,Accipitridae,Accipitriformes,Australian,Least concern
Swamp Harrier,"Eagles, Kites, Goshawks",Circus approximans,Accipitridae,Accipitriformes,Australian,Least concern
Spotted Harrier,"Eagles, Kites, Goshawks",Circus assimilis,Accipitridae,Accipitriformes,Endemic,Least concern
Grey Goshawk,"Eagles, Kites, Goshawks",Accipiter novaehollandiae,Accipitridae,Accipitriformes,Australian,Least concern
Brown Goshawk,"Eagles, Kites, Goshawks",Accipiter fasciatus,Accipitridae,Accipitriformes,Australian,Least concern
Collared Sparrowhawk,"Eagles, Kites, Goshawks",Accipiter cirrocephalus,Accipitridae,Accipitriformes,Australian,Least concern
Red Goshawk,"Eagles, Kites, Goshawks",Erythrotriorchis radiatus,Accipitridae,Accipitriformes,Endemic,Near threatened
White-bellied Sea-Eagle,"Eagles, Kites, Goshawks",Haliaeetus leucogaster,Accipitridae,Accipitriformes,Australian,Least concern
Whistling Kite,"Eagles, Kites, Goshawks",Haliastur sphenurus,Accipitridae,Accipitriformes,Australian,Least concern
Brahminy Kite,"Eagles, Kites, Goshawks",Haliastur indus,Accipitridae,Accipitriformes,Australian,Least concern
Black Kite,"Eagles, Kites, Goshawks",Milvus migrans,Accipitridae,Accipitriformes,Australian,Least concern
Osprey,Osprey,Pandion haliaetus,Pandionidae,Accipitriformes,Australian,Least concern
Nankeen Kestrel,Falcons,Falco cenchroides,Falconidae,Falconiformes,Australian,Least concern
Australian Hobby,Falcons,Falco longipennis,Falconidae,Falconiformes,Australian,Least concern
Brown Falcon,Falcons,Falco berigora,Falconidae,Falconiformes,Australian,Least concern
Grey Falcon,Falcons,Falco hypoleucos,Falconidae,Falconiformes,Endemic (breeding only),Vulnerable
Black Falcon,Falcons,Falco subniger,Falconidae,Falconiformes,Endemic,Least concern
Peregrine Falcon,Falcons,Falco peregrinus,Falconidae,Falconiformes,Australian,Least concern
Sarus Crane,Cranes,Antigone antigone,Gruidae,Gruiformes,Australian,Least concern
Brolga,Cranes,Antigone rubicunda,Gruidae,Gruiformes,Australian,Least concern
Red-necked Crake,"Crakes, Rails and Swamphens",Rallina tricolor,Rallidae,Gruiformes,Australian,Least concern
Lewin's Rail,"Crakes, Rails and Swamphens",Lewinia pectoralis,Rallidae,Gruiformes,Australian,Least concern
Chestnut Rail,"Crakes, Rails and Swamphens",Eulabeornis castaneoventris,Rallidae,Gruiformes,Australian,Least concern
Lord Howe Woodhen,"Crakes, Rails and Swamphens",Hypotaenidia sylvestris,Rallidae,Gruiformes,Endemic,Endangered
Buff-banded Rail,"Crakes, Rails and Swamphens",Hypotaenidia philippensis,Rallidae,Gruiformes,Australian,Least concern
Australian Spotted Crake,"Crakes, Rails and Swamphens",Porzana fluminea,Rallidae,Gruiformes,Endemic,Least concern
Baillon's Crake,"Crakes, Rails and Swamphens",Zapornia pusilla,Rallidae,Gruiformes,Australian,Least concern
Spotless Crake,"Crakes, Rails and Swamphens",Zapornia tabuensis,Rallidae,Gruiformes,Australian,Least concern
Pale-vented Bush-hen,"Crakes, Rails and Swamphens",Amaurornis moluccana ,Rallidae,Gruiformes,Australian,Least concern
White-breasted Waterhen,"Crakes, Rails and Swamphens",Amaurornis phoenicurus,Rallidae,Gruiformes,Australian,Least concern
White-browed Crake,"Crakes, Rails and Swamphens",Amaurornis cinerea,Rallidae,Gruiformes,Australian,Least concern
Purple Swamphen,"Crakes, Rails and Swamphens",Porphyrio porphyrio,Rallidae,Gruiformes,Australian,Least concern
Dusky Moorhen,"Crakes, Rails and Swamphens",Gallinula tenebrosa,Rallidae,Gruiformes,Australian,Least concern
Black-tailed Native-hen,"Crakes, Rails and Swamphens",Tribonyx ventralis,Rallidae,Gruiformes,Endemic,Least concern
Tasmanian Native-hen,"Crakes, Rails and Swamphens",Tribonyx mortierii,Rallidae,Gruiformes,Endemic,Least concern
Eurasian Coot,"Crakes, Rails and Swamphens",Fulica atra,Rallidae,Gruiformes,Australian,Least concern
Australian Bustard,Bustards,Ardeotis australis,Otididae,Otidiformes,Australian,Least concern
Bush Stone-curlew,Stone-curlews,Burhinus grallarius,Burhinidae,Charadriiformes,Australian,Least concern
Beach Stone-curlew,Stone-curlews,Esacus magnirostris,Burhinidae,Charadriiformes,Australian,Least concern
South Island Pied Oystercatcher,Oystercatchers,Haematopus finschi,Haematopodidae,Charadriiformes,Vagrant,Vagrant
Australian Pied Oystercatcher,Oystercatchers,Haematopus longirostris,Haematopodidae,Charadriiformes,Endemic,Least concern
Sooty Oystercatcher,Oystercatchers,Haematopus fuliginosus,Haematopodidae,Charadriiformes,Endemic,Least concern
Banded Stilt,Stilts and Avocets,Cladorhynchus leucocephalus,Recurvirostridae,Charadriiformes,Endemic,Least concern
Red-necked Avocet,Stilts and Avocets,Recurvirostra novaehollandiae,Recurvirostridae,Charadriiformes,Endemic,Least concern
Black-winged Stilt,Stilts and Avocets,Himantopus leucocephalus,Recurvirostridae,Charadriiformes,Australian,Least concern
Grey Plover,"Plovers, Dotterel and Lapwings",Pluvialis squatarola,Charadriidae,Charadriiformes,Non-breeding,Near threatened
Pacific Golden Plover,"Plovers, Dotterel and Lapwings",Pluvialis fulva,Charadriidae,Charadriiformes,Non-breeding,Least concern
Ringed Plover,"Plovers, Dotterel and Lapwings",Charadrius hiaticula,Charadriidae,Charadriiformes,Vagrant,Vagrant
